0.000000,0.000000,0.000000
0.012460,0.000000,0.012658
0.024459,0.000000,0.025316
0.035122,0.000000,0.037975
0.043658,0.000000,0.050633
0.049450,0.000000,0.063291
0.052126,0.000000,0.075949
0.051609,0.000000,0.088608
0.048141,0.000000,0.101266
0.042282,0.000000,0.113924
0.040611,0.000000,0.126582
0.055919,0.000000,0.139241
0.070528,0.000000,0.151899
0.083248,0.000000,0.164557
0.092990,0.000000,0.177215
0.098880,0.000000,0.189873
0.100355,0.000000,0.202532
0.097249,0.000000,0.215190
0.089833,0.000000,0.227848
0.078827,0.000000,0.240506
0.082842,0.000000,0.253165
0.104382,0.000000,0.265823
0.125113,0.000000,0.278481
0.143179,0.000000,0.291139
0.156757,0.000000,0.303797
0.164208,0.000000,0.316456
0.164226,0.000000,0.329114
0.155968,0.000000,0.341772
0.139142,0.000000,0.354430
0.114069,0.000000,0.367089
0.136707,0.000000,0.379747
0.181755,0.000000,0.392405
0.230549,0.000000,0.405063
0.280704,0.000000,0.417722
0.329632,0.000000,0.430380
0.374709,0.000000,0.443038
0.413472,0.000000,0.455696
0.443787,0.000000,0.468354
0.464007,0.000000,0.481013
0.473095,0.000000,0.493671
0.473095,0.000000,0.506329
0.464007,0.000000,0.518987
0.443787,0.000000,0.531646
0.413472,0.000000,0.544304
0.374709,0.000000,0.556962
0.329632,0.000000,0.569620
0.280704,0.000000,0.582278
0.230549,0.000000,0.594937
0.181755,0.000000,0.607595
0.136707,0.000000,0.620253
0.114069,0.000000,0.632911
0.139142,0.000000,0.645570
0.155968,0.000000,0.658228
0.164226,0.000000,0.670886
0.164208,0.000000,0.683544
0.156757,0.000000,0.696203
0.143179,0.000000,0.708861
0.125113,0.000000,0.721519
0.104382,0.000000,0.734177
0.082842,0.000000,0.746835
0.078827,0.000000,0.759494
0.089833,0.000000,0.772152
0.097249,0.000000,0.784810
0.100355,0.000000,0.797468
0.098880,0.000000,0.810127
0.092990,0.000000,0.822785
0.083248,0.000000,0.835443
0.070528,0.000000,0.848101
0.055919,0.000000,0.860759
0.040611,0.000000,0.873418
0.042282,0.000000,0.886076
0.048141,0.000000,0.898734
0.051609,0.000000,0.911392
0.052126,0.000000,0.924051
0.049450,0.000000,0.936709
0.043658,0.000000,0.949367
0.035122,0.000000,0.962025
0.024459,0.000000,0.974684
0.012460,0.000000,0.987342
0.000000,0.000000,1.000000
0.000000,0.000000,0.000000
0.012168,0.002678,0.012658
0.023888,0.005258,0.025316
